cloud_cover_mean,shortwave_radiation_sum,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,date
2,27.1,5.13,0.306,2012-05-01
36,26.86,5.28,0.297,2012-05-02
82,24.78,4.86,0.287,2012-05-03
71,25.39,4.68,0.28,2012-05-04
79,22.0,4.03,0.276,2012-05-05
79,20.51,3.63,0.28,2012-05-06
60,23.45,4.23,0.282,2012-05-07
17,26.26,4.83,0.274,2012-05-08
29,25.16,4.74,0.264,2012-05-09
88,21.39,3.99,0.259,2012-05-10
93,14.61,2.76,0.275,2012-05-11
82,18.86,3.44,0.322,2012-05-12
93,15.99,2.83,0.336,2012-05-13
95,11.54,1.99,0.356,2012-05-14
67,22.82,4.24,0.346,2012-05-15
72,18.83,3.59,0.34,2012-05-16
46,23.12,4.26,0.345,2012-05-17
17,26.91,5.28,0.32,2012-05-18
71,21.87,3.98,0.321,2012-05-19
84,18.55,3.11,0.356,2012-05-20
56,19.57,3.35,0.356,2012-05-21
9,28.37,5.35,0.332,2012-05-22
52,23.48,4.17,0.337,2012-05-23
37,21.69,3.74,0.331,2012-05-24
80,19.05,3.26,0.376,2012-05-25
97,3.85,0.92,0.377,2012-05-26
69,22.94,4.02,0.358,2012-05-27
83,18.98,3.41,0.375,2012-05-28
53,21.72,3.66,0.388,2012-05-29
46,20.95,3.56,0.373,2012-05-30
71,20.88,3.63,0.359,2012-05-31
24,25.83,4.48,0.345,2012-06-01
25,26.27,4.86,0.331,2012-06-02
50,25.6,5.01,0.318,2012-06-03
38,25.38,4.95,0.308,2012-06-04
35,27.29,5.26,0.302,2012-06-05
50,19.83,3.72,0.342,2012-06-06
79,9.36,1.69,0.402,2012-06-07
67,18.31,3.34,0.385,2012-06-08
0,29.34,5.52,0.364,2012-06-09
2,28.3,5.61,0.345,2012-06-10
36,25.84,5.34,0.328,2012-06-11
34,29.08,5.98,0.313,2012-06-12
7,29.92,6.22,0.296,2012-06-13
20,27.93,5.95,0.281,2012-06-14
42,27.27,5.31,0.27,2012-06-15
36,28.32,5.63,0.259,2012-06-16
0,30.49,6.01,0.246,2012-06-17
0,30.09,6.2,0.233,2012-06-18
0,29.97,6.84,0.22,2012-06-19
0,29.87,6.5,0.207,2012-06-20
0,30.08,6.54,0.196,2012-06-21
0,29.66,6.48,0.185,2012-06-22
6,28.93,6.02,0.177,2012-06-23
29,28.55,6.05,0.169,2012-06-24
28,25.16,5.01,0.174,2012-06-25
14,27.71,5.79,0.183,2012-06-26
83,14.94,2.89,0.191,2012-06-27
46,24.74,4.73,0.214,2012-06-28
6,29.62,5.67,0.202,2012-06-29
25,24.64,4.74,0.19,2012-06-30
41,27.93,5.49,0.18,2012-07-01
40,19.97,4.09,0.172,2012-07-02
41,22.9,4.59,0.169,2012-07-03
36,22.89,4.81,0.166,2012-07-04
21,25.88,5.28,0.164,2012-07-05
26,22.44,4.51,0.165,2012-07-06
38,24.77,5.15,0.165,2012-07-07
83,10.27,2.04,0.243,2012-07-08
77,15.57,3.02,0.332,2012-07-09
48,27.64,5.56,0.308,2012-07-10
10,28.64,5.89,0.269,2012-07-11
29,27.5,5.64,0.244,2012-07-12
24,27.99,5.91,0.225,2012-07-13
4,28.31,5.93,0.207,2012-07-14
0,29.03,6.19,0.191,2012-07-15
0,29.07,6.38,0.177,2012-07-16
42,24.2,5.16,0.166,2012-07-17
45,24.41,4.99,0.16,2012-07-18
17,27.97,5.87,0.153,2012-07-19
0,28.39,6.24,0.147,2012-07-20
24,28.67,6.23,0.141,2012-07-21
22,28.48,6.17,0.136,2012-07-22
41,23.5,5.12,0.133,2012-07-23
36,25.47,5.7,0.131,2012-07-24
17,28.46,6.65,0.129,2012-07-25
0,28.43,6.54,0.126,2012-07-26
12,24.71,5.64,0.125,2012-07-27
45,23.66,5.32,0.125,2012-07-28
40,22.04,4.84,0.126,2012-07-29
41,23.1,5.02,0.13,2012-07-30
45,23.45,5.08,0.137,2012-07-31
40,20.58,4.32,0.139,2012-08-01
20,23.62,5.01,0.138,2012-08-02
43,19.49,4.14,0.14,2012-08-03
69,17.87,3.6,0.186,2012-08-04
46,23.91,4.82,0.228,2012-08-05
30,22.69,4.63,0.218,2012-08-06
46,20.47,4.09,0.23,2012-08-07
50,20.65,4.22,0.248,2012-08-08
51,19.01,3.77,0.264,2012-08-09
47,23.31,4.74,0.283,2012-08-10
31,22.78,4.78,0.25,2012-08-11
47,19.36,4.06,0.253,2012-08-12
63,17.08,3.15,0.351,2012-08-13
18,25.99,5.01,0.296,2012-08-14
2,26.03,5.14,0.262,2012-08-15
1,25.66,5.06,0.238,2012-08-16
15,24.29,4.77,0.22,2012-08-17
44,21.26,4.15,0.206,2012-08-18
