epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.889,1.7247,2.3162,1.6221,0.5464,0.42019,0.42961,0.20362,1.85837,3.46609,1.59256,0.00996997,0.00332332,0.00996997,0.00332332,0.00996997,0.00332332,0.00996997,0.00332332
2,291.094,1.69244,1.6933,1.5477,0.40087,0.39824,0.32073,0.13127,1.97404,4.9365,1.70328,0.0199666,0.00665553,0.0199666,0.00665553,0.0199666,0.00665553,0.0199666,0.00665553
3,438.239,1.84529,1.97121,1.68126,0.33148,0.28265,0.21918,0.07905,2.30554,21.691,1.96984,0.0299496,0.00998321,0.0299496,0.00998321,0.0299496,0.00998321,0.0299496,0.00998321
4,594.03,1.88179,1.99611,1.72443,0.37059,0.31392,0.27558,0.1147,2.17956,9.52574,1.87034,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
5,742.813,1.78023,1.79637,1.64511,0.45034,0.39479,0.36158,0.15939,1.95373,3.57531,1.66356,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
6,891.809,1.72458,1.69379,1.60681,0.54518,0.51841,0.52619,0.24834,1.84552,3.55998,1.59342,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765
7,1039.47,1.67921,1.60919,1.57455,0.62355,0.53752,0.57231,0.27543,1.78639,4.18687,1.54812,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
8,1186.6,1.63725,1.55989,1.54788,0.60787,0.53258,0.56479,0.27353,1.77647,2.29697,1.53394,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711
9,1333.36,1.61758,1.50402,1.53167,0.64363,0.58866,0.61848,0.31265,1.69616,2.68847,1.48024,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
10,1481.55,1.59823,1.46033,1.51464,0.64658,0.59133,0.62951,0.31567,1.73668,2.2341,1.49217,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
11,1633.68,1.58731,1.43766,1.50037,0.63627,0.57211,0.60926,0.30632,1.70523,3.40581,1.47366,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
12,1782.81,1.56129,1.40431,1.48471,0.6821,0.6091,0.65614,0.33997,1.66586,2.44172,1.45395,0.0293885,0.00979616,0.0293885,0.00979616,0.0293885,0.00979616,0.0293885,0.00979616
13,1930.91,1.54573,1.36002,1.47678,0.68415,0.61892,0.67264,0.35272,1.63238,1.59134,1.43387,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
14,2078.45,1.53138,1.34881,1.4646,0.69604,0.61605,0.67734,0.3544,1.67189,1.8609,1.45186,0.0291482,0.00971608,0.0291482,0.00971608,0.0291482,0.00971608,0.0291482,0.00971608
15,2229.71,1.52791,1.32586,1.45961,0.69375,0.62818,0.68124,0.35689,1.65886,1.6893,1.43979,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
